Operation Title,Operation Method,Operation Path,Tag,Kind,Deprecated,file,,
Get system statistics,GET,/api/v2/admin/system/stats,System,BWC,FALSE,Admin_API_internal.yaml,,
List completed transition activities,GET,/api/v2/admin/transition/activity,Transition,BWC,FALSE,Admin API.yaml,,
List transitions,GET,/api/v2/admin/transition,Transition,BWC,FALSE,Admin API.yaml,,
Get move status,GET,/api/v2/admin/transition/move/*,Transition,BWC,FALSE,Admin API.yaml,,
Move package,POST,/api/v2/admin/transition/move,Transition,BWC,FALSE,Admin API.yaml,,
Check log level,GET,/api/v1/debug/logs/checkLevel,,,,Admin_API_internal.yaml,,
Set log level,POST,/api/v1/debug/logs/setLevel,,,,Admin_API_internal.yaml,,
Get deleted packages,GET,/api/v1/deleted/packages,,,,Admin_API_internal.yaml,,
Get deleted package versions,GET,/api/v1/deleted/packages/{packageId}/versions,,,,Admin_API_internal.yaml,,
Start operations migration,POST,/api/internal/migrate/operations,,,,Admin API.yaml,,
Get migration status,GET,/api/internal/migrate/operations/{migrationId},,,,Admin API.yaml,,
Get suspicious builds,GET,/api/internal/migrate/operations/{migrationId}/suspiciousBuilds,,,,Admin API.yaml,,
Get migration performance report,GET,/api/internal/migrate/operations/{migrationId}/perf,,,,Admin API.yaml,,
Cancel running migrations,POST,/api/internal/migrate/operations/cancel,,,,Admin API.yaml,,
,GET,/metrics,,,,APIHUB_API.yaml,,
,,/api/v1/deleted/packages/{packageId}/versions/{version},,,,Admin_API_internal.yaml,,
